EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
30245,873837,AL'S BAIT HOUSE, ,14216 DIXIE HWY,,LOUISVILLE,KY,40272,PRE-PACKAGED RETAIL,38.0504,-85.8962,12/19/2012 0:00,100,,ALSBAITHOUSE,
30248,860300,MYERS MIDDLE SCHOOL, ,3741 PULLIAM DRIVE,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.2025714,-85.6431747,10/29/2012 0:00,100,A,MYERSMIDDLESCHOOL,
30258,865936,CIRCLE K #110, ,3379 FERN VALLEY RD,,LOUISVILLE,KY,40213,SUPERMARKET WITH PROCESSING,38.1575,-85.709,11/20/2012 0:00,90,,CIRCLEK,
30264,830865,SPEEDWAY #5043, ,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815,-85.8153,7/17/2012 0:00,95,A,SPEEDWAY,
30295,872844,THE GRAND MARKET, ,1731 DIXIE HGWY,,LOUISVILLE,KY,40211,SUPERMARKET WITH PROCESSING,38.2248,-85.791,12/17/2012 0:00,89,,THEGRANDMARKET,
30307,819053,POP SHOP FOOD MART & DELI, ,12625 DIXIE HWY,,LOUISVILLE,KY,40272,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.072,-85.8842,6/8/2012 0:00,99,A,POPSHOPFOODMARTDELI,
30319,880827,ROADSIDE GROCERY, ,18104 SHELBYVILLE RD,,LOUISVILLE,KY,40023,SUPERMARKET WITH PROCESSING,38.2356,-85.4281,1/16/2013 0:00,100,,ROADSIDEGROCERY,
30320,868582,J.C. CIGARETTE OUTLETT, ,6620 SIX MILE LANE,,LOUISVILLE,KY,40218,PRE-PACKAGED RETAIL,38.1972,-85.6291,12/3/2012 0:00,91,,JCCIGARETTEOUTLETT,
30337,822864,PIC PAC, ,3110 TAYLOR BLVD,,LOUISVILLE,KY,40215,SUPERMARKET WITH PROCESSING,38.2064,-85.7767,6/20/2012 0:00,87,,PICPAC,
30374,837541,SUGAR AND SPICE, ,5613 BARDSTOWN RD,,LOUISVILLE,KY,40219,PRE-PACKAGED RETAIL,38.1646,-85.5977,8/10/2012 0:00,97,,SUGARANDSPICE,
30375,854482,DINO'S II, ,2601 W. BROADWAY,,LOUISVILLE,KY,40211,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2498,-85.7953,10/9/2012 0:00,93,A,DINOSII,
30379,817790,LYNNS PARADISE CAFE, ,984 BARRET AVENUE,,LOUISVILLE,KY,40204,FOOD SERVICE,38.2367,-85.7291,6/5/2012 0:00,96,A,LYNNSPARADISECAFE,
30387,869373,SAVE-A-LOT #75, ,8521 TERRY ROAD,,LOUISVILLE,KY,40258,PRE-PACKAGED RETAIL,38.1299,-85.873,11/30/2012 0:00,97,,SAVEALOT,
30394,820456,SAM'S CLUB #8276, ,6622 PRESTON HWY,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1549,-85.6998,6/13/2012 0:00,96,A,SAMSCLUB,
30399,833896,BIG LOTS #175, ,5318 BARDSTOWN RD,,LOUISVILLE,KY,40291,PRE-PACKAGED RETAIL,38.1664,-85.6047,7/27/2012 0:00,100,,BIGLOTS,
30407,864544,MANLEY'S MARATHON, ,7205 MANSLICK  RD,,LOUISVILLE,KY,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1555,-85.8014,11/15/2012 0:00,98,A,MANLEYSMARATHON,
30411,831265,WALGREENS #12322, ,808 EASTERN PKWY,,LOUISVILLE,KY,40217,PRE-PACKAGED RETAIL,38.2147,-85.7417,7/18/2012 0:00,100,,WALGREENS,
30419,815391,FIRST LINK SUPERMARKET, ,431 E LIBERTY ST,,LOUISVILLE,KY,40202,PRE-PACKAGED RETAIL,38.2515,-85.7453,5/29/2012 0:00,97,,FIRSTLINKSUPERMARKET,
30425,827404,BIG LOTS #226, ,4121 SHELBYVILLE RD,,LOUISVILLE,KY,40205,SUPERMARKET WITH PROCESSING,38.2532,-85.6459,7/5/2012 0:00,100,,BIGLOTS,
30826,813552,TIMOTHY'S ANGELS, ,1351 CATALPA AVE,,LOUISVILLE,KY,40211,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2347,-85.8015,5/22/2012 0:00,97,A,TIMOTHYSANGELS,
30917,810934,BRIGHT HORIZONS @ PLAINVIEW SCHOOL, ,10320 TIMBERWOOD CIRCLE,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2346,-85.5678,5/14/2012 0:00,97,A,BRIGHTHORIZONSPLAINVIEWSCHOOL,
30919,856978,KINDER-CARE/LYNDON, ,1100 LYNDON LANE,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2663,-85.6105,10/16/2012 0:00,100,A,KINDERCARELYNDON,
30930,854774,TODDLERS AND TOTS, ,8301 OLD SHEPHERDSVILLE RD,,LOUISVILLE,KY,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1282,-85.6628,10/10/2012 0:00,100,A,TODDLERSANDTOTS,
30932,861936,ADVANCED LEARNING CENTER, ,3332 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1357,-85.7001,11/5/2012 0:00,95,A,ADVANCEDLEARNINGCENTER,
30968,814059,KIDDIE KAMPUS DAY CARE, ,3685 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2077,-85.7147,5/23/2012 0:00,98,A,KIDDIEKAMPUSDAYCARE,
30972,860283,KINDER CARE, ,730 ZORN AVE,,LOUISVILLE,KY,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2688,-85.693,10/18/2012 0:00,100,A,KINDERCARE,
30977,829263,LIFE CHURCH DAYCARE, ,4413 E PAGES LN,,LOUISVILLE,KY,40272,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1256,-85.8426,7/12/2012 0:00,100,A,LIFECHURCHDAYCARE,
30989,824844,SOUTHSIDE CHRISTIAN DAYCARE INC., ,5804 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1666,-85.7651,6/26/2012 0:00,95,A,SOUTHSIDECHRISTIANDAYCAREINC,
30993,831808,WEE CARE NURSERY, ,11616 MAIN ST,,LOUISVILLE,KY,40243,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.244717,-85.540121,7/19/2012 0:00,100,A,WEECARENURSERY,
30996,867896,KIDDIE LAND DAY CARE CTR., ,1152 DIXIE HGWY,,LOUISVILLE,KY,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2378,-85.7869,11/29/2012 0:00,100,A,KIDDIELANDDAYCARECTR,
31039,830294,JOHNSON'S DAY CARE, ,5533 BRUCE AVE,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1463,-85.7822,7/16/2012 0:00,99,A,JOHNSONSDAYCARE,
31043,861842,KINDER CARE LEARN CTR #424, ,3804 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.208,-85.6382,11/1/2012 0:00,100,A,KINDERCARELEARNCTR,
31045,817791,MARYANITA NURSERY SCHOOL, ,2468 GRINSTEAD DR,,LOUISVILLE,KY,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.243,-85.7084,6/5/2012 0:00,100,A,MARYANITANURSERYSCHOOL,
31047,854155,TINY TOT NURSERY, ,908 ORMSBY LN,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2589,-85.5937,10/8/2012 0:00,98,A,TINYTOTNURSERY,
31053,835731,KINDER-CARE/SHELBYVILLE, ,8016 SHELBYVILLE RD,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2481,-85.6049,7/19/2012 0:00,97,A,KINDERCARESHELBYVILLE,
31071,856031,KINDER-CARE NEWBURG, ,2990 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2045,-85.6929,10/15/2012 0:00,97,A,KINDERCARENEWBURG,
31081,869039,LOU. BAPT HOSP CHILD DEV., ,4000 KRESGE WAY,,LOUISVILLE,KY,40207,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2381,-85.6386,12/4/2012 0:00,100,A,LOUBAPTHOSPCHILDDEV,
31090,820016,HELEN'S DAY CARE INC., ,4529 CANE RUN RD,,LOUISVILLE,KY,40216,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1932,-85.8449,6/12/2012 0:00,100,A,HELENSDAYCAREINC,
31097,857152,KINDER-CARE/HERR LANE, ,2013 HERR LANE,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2808,-85.6247,10/18/2012 0:00,99,A,KINDERCAREHERRLANE,
31102,827043,PLAY N LEARN, ,5114 OLD SHEPHERDSVILLE RD,,LOUISVILLE,KY,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1753,-85.6599,7/2/2012 0:00,98,A,PLAYNLEARN,
31110,833904,WHITEHALL DAY CARE CENTER, ,2633 WHITEHALL TERRACE,,LOUISVILLE,KY,40220,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2141,-85.6315,7/27/2012 0:00,100,A,WHITEHALLDAYCARECENTER,
31120,832347,BEECHLAND BAPT. DAY CARE, ,4613 GREENWOOD RD,,LOUISVILLE,KY,40258,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.144,-85.8424,7/23/2012 0:00,100,A,BEECHLANDBAPTDAYCARE,
31128,820477,VALLEY VIEW CHURCH CHILD CARE, ,8911 OLD 3RD ST RD,,LOUISVILLE,KY,40272,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.116,-85.8152,6/13/2012 0:00,100,A,VALLEYVIEWCHURCHCHILDCARE,
31136,863659,DROP-A-TOT DAY CARE, ,10411 WATTERSON TRAIL,,LOUISVILLE,K`,40299,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1938,-85.5669,11/13/2012 0:00,100,A,DROPATOTDAYCARE,
31145,832321,ST. JOSEPH CHILD DEV. CTR, ,2823 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2564,-85.6896,7/23/2012 0:00,95,A,STJOSEPHCHILDDEVCTR,
31186,843870,KIDS KRADLE CHILD CARE DEVELOPMENT CENTER, ,3632 W. BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2498,-85.8126,9/5/2012 0:00,86,C,KIDSKRADLECHILDCAREDEVELOPMENTCENTER,
31189,834389,MINI VERSITY DOWNTOWN CHILD DEVELOPMENT CENTER, ,306 ROY WILKINS BLVD,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2543,-85.7659,7/30/2012 0:00,95,A,MINIVERSITYDOWNTOWNCHILDDEVELOPMENTCENTER,
31202,811260,CHESTNUT STREET YMCA, ,930 W CHESTNUT ST,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2498,-85.7674,5/15/2012 0:00,95,A,CHESTNUTSTREETYMCA,
31203,830298,MAPLE GROVE DAY CARE, ,5911 E MANSLICK RD,,LOUISVILLE,KY,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1221,-85.6519,7/16/2012 0:00,99,A,MAPLEGROVEDAYCARE,
31210,813528,CALIF. AREA FAMILY DEVELOP, ,1705 S. 13TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2243,-85.7769,5/22/2012 0:00,93,A,CALIFAREAFAMILYDEVELOP,
31211,847811,SOUTHSIDE CHRISTIAN DC II, ,4014 TAYLOR BLVD,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1854,-85.7844,9/17/2012 0:00,99,A,SOUTHSIDECHRISTIANDCII,
31213,854997,RIDGEWOOD CHILD DEV. CTR., ,6209 GREENWOOD RD,,LOUISVILLE,KY,40258,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1454,-85.8676,10/11/2012 0:00,97,A,RIDGEWOODCHILDDEVCTR,
31220,833593,ADATH JESHURUN PRESCHOOL, ,2401 WOODBOURNE AVE,,LOUISVILLE,KY,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.228,-85.6847,7/26/2012 0:00,98,A,ADATHJESHURUNPRESCHOOL,
31229,835486,HIGHLANDS EDUCATIONAL CENTER FOR KIDS, ,1436 EASTERN PKWY,,LOUISVILLE,KY,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.228119,-85.716208,8/2/2012 0:00,99,A,HIGHLANDSEDUCATIONALCENTERFORKIDS,
31230,821222,TAYLOR TOTS LEARNING CENTER, ,4301 TAYLOR BLVD,,LOUSIVILLE,KY,40215,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1781,-85.7824,6/15/2012 0:00,100,A,TAYLORTOTSLEARNINGCENTER,
31231,854770,THE TEMPLE PRE-SCHOOL, ,5101 U.S. HIGHWAY 42,,LOUISVILLE,KY,40241,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2912,-85.6303,10/10/2012 0:00,99,A,THETEMPLEPRESCHOOL,
31237,852016,KIDS & FUN, ,105 BUECHEL TERRACE,,LOUISVILLE,KY,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1887,-85.6391,10/1/2012 0:00,99,A,KIDSFUN,
31288,828766,LA PETITE ACADEMY, ,10331 TIMBERWOOD CTR,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2336,-85.5705,7/2/2012 0:00,99,A,LAPETITEACADEMY,
31299,817290,SOUTHSIDE CHRISTIAN DAYCARE #3, ,7419 ST. ANDREWS CHURCH RD,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1532,-85.806,6/4/2012 0:00,87,C,SOUTHSIDECHRISTIANDAYCARE,
31301,835126,HIGHLANDS COMMUNITY MINISTRIES / EASTERN STAR HOME, ,HIGHLAND DAYCARE,,LOUISVILLE,KY,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2432,-85.7232,8/2/2012 0:00,98,A,HIGHLANDSCOMMUNITYMINISTRIESEASTERNSTARHOME,
31313,862197,BRIGHT EXPECTATIONS CHILD DEVELOPMENT CENTER, ,9303 HURSTBORNE PARK BLVD,,LOUISVILLE,KY,40220,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2214,-85.582,11/6/2012 0:00,100,A,BRIGHTEXPECTATIONSCHILDDEVELOPMENTCENTER,
31322,843369,BROWNSBORO HILLS HEALTHCARE, ,2141 SYCAMORE AVENUE,,LOUISVILLE,KY,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2562,-85.7053,8/30/2012 0:00,99,A,BROWNSBOROHILLSHEALTHCARE,
31323,815763,CHRISTIAN HEALTH CENTER, ,920 SOUTH FOURTH STREET,,LOUISVILLE,KY,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2407,-85.7598,5/30/2012 0:00,97,A,CHRISTIANHEALTHCENTER,
31325,848422,CHRISTOPHER EAST, ,4200 BROWNS LANE,,LOUISVILLE,KY,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2214,-85.6219,9/18/2012 0:00,100,A,CHRISTOPHEREAST,
31329,830295,ESSEX NURSING & REHABILITATION CENTER, ,9600 LAMBOURNE BLVD,,LOUISVILLE,KY,40201,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1135,-85.8145,7/16/2012 0:00,100,A,ESSEXNURSINGREHABILITATIONCENTER,
31330,832348,GEORGETOWN MANOR, ,900 GAGEL AVENUE,,LOUISVILLE,KY,40216,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1721,-85.806,7/23/2012 0:00,98,A,GEORGETOWNMANOR,
31331,853623,GOLDEN LIVING CENTER HILLCREEK, ,3116 BRECKENRIDGE LANE,,LOUISVILLE,KY,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2104,-85.6291,10/5/2012 0:00,97,A,GOLDENLIVINGCENTERHILLCREEK,
31332,848404,HIGHLANDS NURSING & REHAB CNTR, ,1705 STEVENS AVENUE,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2294,-85.7116,9/17/2012 0:00,92,C,HIGHLANDSNURSINGREHABCNTR,
31334,809394,THE GOOD SAMARITIAN, ,3500 GOOD SAMARITAN WAY,,LOUISVILLE,KY,40299,FOOD SERVICE,38.1968,-85.5621,5/8/2012 0:00,100,A,THEGOODSAMARITIAN,
31335,812874,LOU. PROTESTANT ALTENHEIM, ,936 BARRET AVENUE,,LOUISVILLE,KY,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2385,-85.7307,5/18/2012 0:00,99,A,LOUPROTESTANTALTENHEIM,
31336,819509,MASONIC HOMES OF KENTUCKY / LOUISVILLE BRANCH, ,240 MASONIC HOME DR,,LOUISVILLE,KY,40041,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2576,-85.6659,6/11/2012 0:00,99,A,MASONICHOMESOFKENTUCKYLOUISVILLEBRANCH,
31337,856045,SIGNATURE HEALTHCARE OF EAST LOUISVILLE, ,2529 SIX MILE LANE,,LOUISVILLE,KY,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2084,-85.5867,10/12/2012 0:00,93,C,SIGNATUREHEALTHCAREOFEASTLOUISVILLE,
31340,831567,MT. HOLLY NURSING CENTER, ,446 MT. HOLLY AVENUE,,LOUISVILLE,KY,40206,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2605,-85.7042,7/19/2012 0:00,100,A,MTHOLLYNURSINGCENTER,
31341,864153,KINDRED NURSING REHABILITATION BASHFORD, ,3535 BARDSTOWN RD,,LOUISVILLE,KY,40218,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2011,-85.6623,11/14/2012 0:00,98,A,KINDREDNURSINGREHABILITATIONBASHFORD,
31342,817800,NORTHFIELD CENTER FOR HEALTH & REHAB, ,6000 HUNTING ROAD,,LOUISVILLE,KY,40222,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2826,-85.6373,6/5/2012 0:00,99,A,NORTHFIELDCENTERFORHEALTHREHAB,
31343,861835,PARKWAY MEDICAL CENTER, ,1155 EASTERN PARKWAY,,LOUISVILLE,KY,40217,FOOD SERVICE (HOSPITAL / NURSING HOME,38.226,-85.7276,11/5/2012 0:00,100,A,PARKWAYMEDICALCENTER,
31345,812192,SACRED HEART HOME, ,2120 PAYNE STREET,,LOUISVILLE,KY,40206,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2513,-85.7071,5/11/2012 0:00,96,,SACREDHEARTHOME,
31346,856018,GOLDEN LIVING CENTER, ,227 BROWNS LN,,LOUISVILLE,KY,40207,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2503,-85.645,10/15/2012 0:00,98,A,GOLDENLIVINGCENTER,
31349,840132,TWINBROOK NURSING HOME, ,3526 DUTCHMANS LANE,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2241,-85.6531,8/21/2012 0:00,100,A,TWINBROOKNURSINGHOME,
31360,853322,LA PETITE ACADEMY, ,9505 U S HWY 42,,LOUISVILLE,KY,40059,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.3436,-85.6194,10/4/2012 0:00,98,A,LAPETITEACADEMY,
31371,849153,ZACHARY TAYLOR ELEMENTARY, ,9620 WESTPORT RD,,LOUISVILLE,KY,40241,SCHOOL CAFETERIA OR FOOD SERVICE,38.2864,-85.5726,9/20/2012 0:00,95,A,ZACHARYTAYLORELEMENTARY,
31372,863054,TRINITY HIGH SCHOOL, ,4011 SHELBYVILLE RD,,LOUISVILLE,KY,40207,SCHOOL CAFETERIA OR FOOD SERVICE,38.2533,-85.6513,11/2/2012 0:00,98,A,TRINITYHIGHSCHOOL,
